
523	鞍山
1096	安阳
3251	安庆
3157	安康
9399	澳门
9499	阿克苏
9539	阿拉尔
9678	阿里
9817	阿坝
10083	阿拉善盟
7468	安顺
1	北京
424	保定
801	包头
944	滨州
2044	宝鸡
3470	蚌埠
5845	本溪
5918	白城
2329	亳州
2390	保山
9530	巴音郭楞
9529	博尔塔拉
9811	巴中
10070	巴彦淖尔盟
10179	白山
10304	白银
10513	百色
10536	北海
10564	毕节
102	成都
414	长沙
37	重庆
319	长春
463	常州
652	沧州
872	常德
5695	郴州
6700	赤峰
6760	承德
6921	长治
8582	昌吉
9344	长葛
9648	昌都
10106	朝阳
10229	巢湖
10260	池州
10266	滁州
10461	潮州
10524	崇左
413	东莞
147	大连
728	德州
623	东营
375	大庆
3445	丹东
6964	大同
2398	大理
8398	定州
2373	德阳
9432	迪庆
9437	德宏
9799	达州
10322	定西
9878	大兴安岭
11279	大丰
2037	鄂尔多斯
2302	恩施
9709	鄂州
304	福州
222	佛山
5722	抚顺
2325	阜阳
10097	阜新
10134	抚州
10539	防城港
3	广州
2015	贵阳
1039	桂林
6770	贵港
2363	赣州
8706	馆陶
2381	广安
9749	广元
9764	甘孜
9936	果洛
10343	甘南
79	杭州
202	哈尔滨
2053	海口
837	合肥
811	呼和浩特
722	惠州
914	衡阳
572	邯郸
831	湖州
993	衡水
3163	汉中
968	淮安
1734	黄石
2043	海拉尔
5632	菏泽
5756	怀化
2299	黄冈
2340	河池
7452	哈密
2394	红河
9061	鹤岗
2319	淮南
2344	鹤壁
9357	淮北
2323	黄山
9489	和田
9896	黄南
9902	海西
10574	海南
9909	海东
9917	海北
10039	呼伦贝尔
10088	葫芦岛
10467	河源
10549	贺州
9862	黑河
10892	和县
11226	霍邱
265	济南
450	济宁
497	嘉兴
629	江门
531	金华
700	吉林
927	揭阳
2247	九江
3266	焦作
3350	晋城
3479	荆州
6776	佳木斯
7289	鸡西
2364	吉安
7428	金昌
8854	晋中
2354	锦州
2360	景德镇
2296	荆门
10362	嘉峪关
10387	酒泉
9918	济源
541	昆明
2042	克拉玛依
7168	库尔勒
2342	开封
9326	喀什
9519	克孜勒苏
11313	垦利
952	兰州
556	洛阳
772	廊坊
505	临沂
882	聊城
2049	连云港
3222	吕梁
3237	乐山
2038	辽阳
2501	辽源
2055	拉萨
5669	临汾
6752	龙岩
7112	临夏
7133	柳州
2347	漯河
2372	泸州
7921	丽水
2392	丽江
2328	六安
2292	莱芜
9193	临猗
9422	临沧
9646	林芝
9717	凉山
9481	娄底
10415	陇南
10552	来宾
10506	六盘水
1057	绵阳
679	茂名
2039	马鞍山
3489	牡丹江
8541	明港
9389	梅州
9704	眉山
172	南京
669	南昌
135	宁波
845	南宁
592	南阳
394	南通
5928	内江
7951	宁德
2378	南充
9462	怒江
9618	那曲
10291	南平
1005	平顶山
2041	盘锦
2248	萍乡
3306	庄河
7154	平凉
2346	濮阳
2371	攀枝花
9444	普洱
122	青岛
291	泉州
1078	秦皇岛
2258	其他
5853	齐齐哈尔
6793	衢州
7303	清远
2335	钦州
2389	曲靖
9363	黔东南
10475	庆阳
10492	黔南
10434	黔西南
9848	七台河
9669	潜江
10908	清徐
3177	日照
9615	日喀则
13951	瑞安
2	上海
4	深圳
5	苏州
188	沈阳
241	石家庄
783	汕头
3359	宿州
355	绍兴
2032	十堰
2048	三明
2192	韶关
1029	商丘
5772	沭阳
2350	宿迁
6718	绥化
2303	邵阳
2422	三亚
8716	顺德
2315	松原
9317	三门峡
9449	汕尾
9656	随州
9551	石河子
9576	山南
9688	遂宁
9854	商洛
9871	朔州
9971	石嘴山
10120	上饶
10171	四平
9837	双鸭山
9605	神农架
9656	随州
13722	三沙
18	天津
740	太原
276	唐山
686	泰安
403	台州
693	泰州
2051	台湾
6729	铁岭
8601	天水
9475	吐鲁番
9559	图木舒克
9832	铜川
10015	通辽
10159	通化
10285	铜陵
10417	铜仁
9528	天门
11263	台山
11296	桐城
158	武汉
93	无锡
362	潍坊
984	乌鲁木齐
330	温州
518	威海
2045	芜湖
2046	梧州
3279	瓦房店
5733	渭南
2395	文山
2404	乌海
9562	五家渠
9962	吴忠
9993	乌兰察布
10448	武威
9952	五指山
10761	武夷山
483	西安
606	厦门
471	徐州
2047	湘潭
891	襄樊
1016	新乡
751	邢台
3434	孝感
2052	西宁
977	许昌
2050	香港
3453	忻州
5633	宣城
2397	西双版纳
2408	锡林郭勒盟
8694	信阳
9976	兴安盟
10115	新余
10219	湘西
9736	仙桃
9617	咸宁
228	烟台
8973	延安
637	扬州
858	宜昌
613	盐城
821	岳阳
2054	银川
3184	延边
3209	鹰潭
2040	玉溪
5653	运城
5709	宜春
5898	营口
5942	榆林
2380	宜宾
2307	永州
2284	阳江
8760	阳泉
979	禹州
9123	鄢陵
2337	玉林
9472	伊犁
9687	雅安
9888	玉树
10198	益阳
10485	云浮
9773	伊春
11077	永新
12291	义乌
13950	乐清
342	郑州
910	珠海
3328	张家口
771	中山
385	淄博
1086	株洲
710	漳州
791	湛江
901	肇庆
961	枣庄
645	镇江
933	周口
3198	正定
1067	驻马店
6745	自贡
6788	张家界
6803	资阳
8481	舟山
8680	章丘
9048	赵县
9146	诸城
9409	昭通
9951	中卫
10454	张掖
11201	张北
